BuildToken/getAccessToken###5aa0eed65241f###2018-03-09 17:12:51###{"timestamp":"1520498883","app_id":"49789011","rand_str":"123456","signature":"8cadea309b2e0efe0503950d7668fe34","device_id":"123456"}###null###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"access_token":"bb45af51e316bafe2585beed6b76515e","expires_in":7200},"debug":["8cadea309b2e0efe0503950d7668fe34"]}###{"timestamp":1520498883,"app_id":"49789011","rand_str":"123456","signature":"8cadea309b2e0efe0503950d7668fe34","device_id":"123456"}###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:15:09###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":10000,"msg":"\u624b\u673a\u53f7\u7801\u683c\u5f0f\u6709\u8bef","data":[]}###[]###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:15:30###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":10000,"msg":"\u624b\u673a\u53f7\u7801\u683c\u5f0f\u6709\u8bef","data":[]}###[]###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:19:11###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":10000,"msg":"\u624b\u673a\u53f7\u7801\u683c\u5f0f\u6709\u8bef","data":[]}###[]###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:20:04###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###[]###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:24:59###{"mobile":"13800138000","password":"123456","nickname":""}###null###null###v1.0###null######{"code":-996,"msg":"\u7f3a\u5c11\u53c2\u6570access-token","data":[]}###null###null###null###null###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:25:07###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":10000,"msg":"\u624b\u673a\u53f7\u7801\u683c\u5f0f\u6709\u8bef","data":[]}###[]###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:25:14###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###[]###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:26:09###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":null}###[]###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:26:10###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":null}###[]###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:27:48###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"mobile":"13800138000","password":"123456","nickname":""}}###{"mobile":"13800138000","password":"123456","nickname":""}###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:28:02###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":10000,"msg":"\u624b\u673a\u53f7\u7801\u683c\u5f0f\u6709\u8bef","data":[]}###{"mobile":"13800138000","password":"123456","nickname":""}###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:28:27###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":""}###{"mobile":"13800138000","password":"123456","nickname":""}###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:28:36###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"mobile":"13800138000","password":"123456","nickname":""}}###{"mobile":"13800138000","password":"123456","nickname":""}###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:28:47###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":"13800138000"}###{"mobile":"13800138000","password":"123456","nickname":""}###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:28:48###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":"13800138000"}###{"mobile":"13800138000","password":"123456","nickname":""}###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:28:58###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":"13800138000"}###{"mobile":"13800138000","password":"123456","nickname":""}###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:29:08###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":""}###{"mobile":"13800138000","password":"123456","nickname":""}###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:29:24###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":"13800138000"}###{"mobile":"13800138000","password":"123456","nickname":""}###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:32:22###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":200,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"uid":"2","userToken":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwOlwvXC9qaWFqdWFuLmNuIiwiYXVkIjoiYXBwOlwvXC9qaWFqdWFuLmNuIiwiaWF0IjoxNTIwNTg3OTQyLCJuYmYiOjE1MjA1ODc5NDIsInVpZCI6IjIifQ.WWOKbfkzyyU_b-hvpLWQHJk9-7mIEUNOpXlaLZ7dMLc"}}###{"mobile":"13800138000","password":"123456","nickname":""}###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:35:03###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":10004,"msg":"\u7528\u6237\u5df2\u7ecf\u5b58\u5728","data":[]}###{"mobile":"13800138000","password":"123456","nickname":""}###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:35:05###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":10004,"msg":"\u7528\u6237\u5df2\u7ecf\u5b58\u5728","data":[]}###{"mobile":"13800138000","password":"123456","nickname":""}###49789011###hua###123456###null
UserDo/register###5aa24ee3d3334###2018-03-09 17:58:45###{"mobile":"13800138000","password":"123456","nickname":""}###bb45af51e316bafe2585beed6b76515e###null###v1.0###null######{"code":10004,"msg":"\u7528\u6237\u5df2\u7ecf\u5b58\u5728","data":[]}###{"mobile":"13800138000","password":"123456","nickname":""}###49789011###hua###123456###null
